,source_name,source_hex,delta_r,delta_g,delta_b,target_name,target_hex
0,lightpink,#FFB6C1,0,10,10,pink,#FFC0CB
1,pink,#FFC0CB,-35,-172,-143,crimson,#DC143C
2,crimson,#DC143C,35,220,185,lavenderblush,#FFF0F5
3,lavenderblush,#FFF0F5,-36,-128,-98,palevioletred,#DB7093
4,palevioletred,#DB7093,36,-7,33,hotpink,#FF69B4
5,hotpink,#FF69B4,0,-85,-33,deeppink,#FF1493
6,deeppink,#FF1493,-56,1,-14,mediumvioletred,#C71585
7,mediumvioletred,#C71585,19,91,81,orchid,#DA70D6
8,orchid,#DA70D6,-2,79,2,thistle,#D8BFD8
9,thistle,#D8BFD8,5,-31,5,plum,#DDA0DD
10,plum,#DDA0DD,17,-30,17,violet,#EE82EE
11,violet,#EE82EE,17,-130,17,fuchsia*,#FF00FF
12,fuchsia*,#FF00FF,0,0,0,fuchsia*,#FF00FF
13,fuchsia*,#FF00FF,-116,0,-116,darkmagenta,#8B008B
14,darkmagenta,#8B008B,-11,0,-11,purple*,#800080
15,purple*,#800080,58,85,83,mediumorchid,#BA55D3
16,mediumorchid,#BA55D3,-38,-85,0,darkviolet,#9400D3
17,darkviolet,#9400D3,5,50,-7,darkorchid,#9932CC
18,darkorchid,#9932CC,-78,-50,-74,indigo,#4B0082
19,indigo,#4B0082,63,43,96,blueviolet,#8A2BE2
20,blueviolet,#8A2BE2,9,69,-7,mediumpurple,#9370DB
21,mediumpurple,#9370DB,-24,-8,19,mediumslateblue,#7B68EE
22,mediumslateblue,#7B68EE,-17,-14,-33,slateblue,#6A5ACD
23,slateblue,#6A5ACD,-34,-29,-66,darkslateblue,#483D8B
24,darkslateblue,#483D8B,176,187,116,ghostwhite,#F8F8FF
25,ghostwhite,#F8F8FF,-18,-18,-5,lavender,#E6E6FA
26,lavender,#E6E6FA,-230,-230,5,blue*,#0000FF
27,blue*,#0000FF,0,0,-50,mediumblue,#0000CD
28,mediumblue,#0000CD,0,0,-66,darkblue,#00008B
29,darkblue,#00008B,0,0,-11,navy*,#000080
30,navy*,#000080,25,25,-16,midnightblue,#191970
31,midnightblue,#191970,40,80,113,royalblue,#4169E1
32,royalblue,#4169E1,35,44,12,cornflowerblue,#6495ED
33,cornflowerblue,#6495ED,76,47,-15,lightsteelblue,#B0C4DE
34,lightsteelblue,#B0C4DE,-57,-60,-69,lightslategray,#778899
35,lightslategray,#778899,-7,-8,-9,slategray,#708090
36,slategray,#708090,-82,16,111,dodgerblue,#1E90FF
37,dodgerblue,#1E90FF,210,104,0,aliceblue,#F0F8FF
38,aliceblue,#F0F8FF,-170,-118,-75,steelblue,#4682B4
39,steelblue,#4682B4,65,76,70,lightskyblue,#87CEFA
40,lightskyblue,#87CEFA,0,0,-15,skyblue,#87CEEB
41,skyblue,#87CEEB,-135,-15,20,deepskyblue,#00BFFF
42,deepskyblue,#00BFFF,173,25,-25,lightblue,#ADD8E6
43,lightblue,#ADD8E6,3,8,0,powderblue,#B0E0E6
44,powderblue,#B0E0E6,-81,-66,-70,cadetblue,#5F9EA0
45,cadetblue,#5F9EA0,-95,48,49,darkturquoise,#00CED1
46,darkturquoise,#00CED1,240,49,46,azure,#F0FFFF
47,azure,#F0FFFF,-16,0,0,lightcyan,#E0FFFF
48,lightcyan,#E0FFFF,-49,-17,-17,paleturquoise,#AFEEEE
49,paleturquoise,#AFEEEE,-175,17,17,aqua*,#00FFFF
50,aqua*,#00FFFF,0,0,0,aqua*,#00FFFF
51,aqua*,#00FFFF,0,-116,-116,darkcyan,#008B8B
52,darkcyan,#008B8B,0,-11,-11,teal*,#008080
53,teal*,#008080,47,-49,-49,darkslategray,#2F4F4F
54,darkslategray,#2F4F4F,25,130,125,mediumturquoise,#48D1CC
55,mediumturquoise,#48D1CC,-40,-31,-34,lightseagreen,#20B2AA
56,lightseagreen,#20B2AA,32,46,38,turquoise,#40E0D0
57,turquoise,#40E0D0,63,31,4,aquamarine,#7FFFD4
58,aquamarine,#7FFFD4,-25,-50,-42,mediumaquamarine,#66CDAA
59,mediumaquamarine,#66CDAA,-102,45,-16,mediumspringgreen,#00FA9A
60,mediumspringgreen,#00FA9A,245,5,96,mintcream,#F5FFFA
61,mintcream,#F5FFFA,-245,0,-123,springgreen,#00FF7F
62,springgreen,#00FF7F,60,-76,-14,mediumseagreen,#3CB371
63,mediumseagreen,#3CB371,-14,-40,-26,seagreen,#2E8B57
64,seagreen,#2E8B57,194,116,153,honeydew,#F0FFF0
65,honeydew,#F0FFF0,-97,-67,-97,darkseagreen,#8FBC8F
66,darkseagreen,#8FBC8F,9,63,9,palegreen,#98FB98
67,palegreen,#98FB98,-8,-13,-8,lightgreen,#90EE90
68,lightgreen,#90EE90,-94,-33,-94,limegreen,#32CD32
